"Hit Record Unique ID","URL to article/Tweet","Source","Location","Hit Type","Passed through tags","Associated Publisher","Referring Hit Record Unique ID","Authors","Plain Text of Article or Tweet","Date","Mentions","Hashtags","Found URL"
1320779878728282112,"https://twitter.com/Spokoiny/status/1320779878728282112","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Yair_Rosenberg Let's no rush to conclusions based on inferences from a poll (that is still within the margin of error). It is true, however, Bush got a way bigger percentage of the latino vote. Another reason why Trump's campaign of race baiting and appealing just to the base may hurt him","2020-10-26","['yair_rosenberg']","[]","[]"
1320776471347040256,"https://twitter.com/Spokoiny/status/1320776471347040256","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@jaketapper they just have no shame.","2020-10-26","['jaketapper']","[]","[]"
1320775651809390592,"https://twitter.com/Spokoiny/status/1320775651809390592","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@JewhadiTM @realDonaldTrump Like every insecure man with masculinity issues, he attacks women. A wimp, a crybaby, a despicable human being. Thanks @jewhaditm for reminding us.","2020-10-26","['jewhaditm', 'realdonaldtrump', 'jewhaditm']","[]","[]"
1320775352625422336,"https://twitter.com/Spokoiny/status/1320775352625422336","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@JewhadiTM will you ever quote a decent news outlet?","2020-10-26","['jewhaditm']","[]","[]"
1320749327908655104,"https://twitter.com/Spokoiny/status/1320749327908655104","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","Just a reminder: Pence is leading the Covid task force. He violates the protocols and 5 people in his office are sick with it. Is he incompetent, criminal or immoral? (or the three together)","2020-10-26","[]","[]","[]"
1320747027668422657,"https://twitter.com/Spokoiny/status/1320747027668422657","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@michaeldickson @thetimes @AnshelPfeffer No surprise that Trump supports Erdogan...","2020-10-26","['michaeldickson', 'thetimes', 'anshelpfeffer']","[]","[]"
1320746768028430336,"https://twitter.com/Spokoiny/status/1320746768028430336","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Jerusalem_Post @gantzbe @AAhronheim It's the V22 aircraft.","2020-10-26","['jerusalem_post', 'gantzbe', 'aahronheim']","[]","[]"
1320746443053776896,"https://twitter.com/Spokoiny/status/1320746443053776896","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@omriceren Still waiting my answer about Trump's China account. Why can't you answer? Changing the topic won't work.","2020-10-26","['omriceren']","[]","[]"
1320746127965212673,"https://twitter.com/Spokoiny/status/1320746127965212673","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@PressSec @60Minutes @realDonaldTrump Wait Kayleigh, so you are basically saying that there is a health care plan, and you kept it secret until you gave Lesly a binder... Care to share it with all of us too? Can you please be a better liar?","2020-10-26","['presssec', '60minutes', 'realdonaldtrump']","[]","[]"
1320745452652802048,"https://twitter.com/Spokoiny/status/1320745452652802048","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@JGreenblattADL @FBI Because then Trump will be asked to condemn white supremacy and he doesn't want to.","2020-10-26","['jgreenblattadl', 'fbi']","[]","[]"
1320745271765053447,"https://twitter.com/Spokoiny/status/1320745271765053447","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@mynameisjro @RavMABAY Yes, Sarah, we will remember the hypocrisy. Thanks for reminding us.","2020-10-26","['mynameisjro', 'ravmabay']","[]","[]"
1320745050381283328,"https://twitter.com/Spokoiny/status/1320745050381283328","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","5 people positive in Pence's office. Think of this: if they don't take care of the people that work for them, how do you expect them to take care of the rest of us?","2020-10-26","[]","[]","[]"
1320732935704621056,"https://twitter.com/Spokoiny/status/1320732935704621056","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@ElaheIzadi @Fahrenthold At what point is ethically ok to say that they had it coming? They CHOSE not to protect themselves to please Trump or to follow some debunked false science in full knowledge that it's false...","2020-10-26","['elaheizadi', 'fahrenthold']","[]","[]"
1320731912806170629,"https://twitter.com/Spokoiny/status/1320731912806170629","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@shannonrwatts Kinda they are poor becasue they want to. Racism has nothing to do with it. Nice.","2020-10-26","['shannonrwatts']","[]","[]"
1320731780161236994,"https://twitter.com/Spokoiny/status/1320731780161236994","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@littledeekay @FBI @jack You know that they are committing fraud because the trumpist way is to accuse others of what you are doing yourself.","2020-10-26","['littledeekay', 'fbi', 'jack']","[]","[]"
1320731578721423360,"https://twitter.com/Spokoiny/status/1320731578721423360","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@marcorubio You forgot to @ Trump.","2020-10-26","['marcorubio']","[]","[]"
1320731046434856960,"https://twitter.com/Spokoiny/status/1320731046434856960","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","Again, Isarel didn't sign a peace deal with the UAE, because it had never had a war with them. it's a normalization agreement. It's good as is, no need to hype it beyond what it is.  https://t.co/ChmIiVT1dR","2020-10-26","[]","[]","['https://twitter.com/Ostrov_A/status/1320729587190517760']"
1320730183784001544,"https://twitter.com/Spokoiny/status/1320730183784001544","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Ostrov_A Or when he allies with Trump to abandon the Kurds.","2020-10-26","['ostrov_a']","[]","[]"
1320724290321424391,"https://twitter.com/Spokoiny/status/1320724290321424391","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Amy_Siskind Disregard for human life. They are a death cult","2020-10-26","['amy_siskind']","[]","[]"
1320586699492130816,"https://twitter.com/Spokoiny/status/1320586699492130816","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@RokhlK Let's not forget that the ""outside world"" more often than not tried to kill them..","2020-10-26","['rokhlk']","[]","[]"
1320566811235004417,"https://twitter.com/Spokoiny/status/1320566811235004417","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Amy_Siskind how can you claim to be a tough guy and whine all the time? don't people see the contradiction?","2020-10-25","['amy_siskind']","[]","[]"
1320560107613114368,"https://twitter.com/Spokoiny/status/1320560107613114368","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Amy_Siskind I'll tell you a little secret: she doesn't (please don't tell anybody).","2020-10-25","['amy_siskind']","[]","[]"
1320559077605265408,"https://twitter.com/Spokoiny/status/1320559077605265408","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Salt_AU @JohnErikFraker @PoliticusSarah @Scaramucci coward, like all bullies","2020-10-25","['salt_au', 'johnerikfraker', 'politicussarah', 'scaramucci']","[]","[]"
1320558945602203648,"https://twitter.com/Spokoiny/status/1320558945602203648","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@RabbiJill What's so brilliant about Trump's strategy is that he managed to sold us on the idea that the media is against him, when in fact, the media serves him. #themediaisprotrump","2020-10-25","['rabbijill']","['themediaisprotrump']","[]"
1320558717117427712,"https://twitter.com/Spokoiny/status/1320558717117427712","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@RabbiJill #themediaisprotrump. They take much of he says at face value and don't fact-check him.","2020-10-25","['rabbijill']","['themediaisprotrump']","[]"
1320558475487764480,"https://twitter.com/Spokoiny/status/1320558475487764480","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@SamAntar this is bothsidism. Millions worship Trump and I don't see any cult of personality around Biden.","2020-10-25","['samantar']","[]","[]"
1320558055470161920,"https://twitter.com/Spokoiny/status/1320558055470161920","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@jaketapper She will do it because the only lives she cares about are those of the unborn. The rest of us can die.","2020-10-25","['jaketapper']","[]","[]"
1320557567085400065,"https://twitter.com/Spokoiny/status/1320557567085400065","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@tedlieu @boltyboy @WhiteHouse The judge should refuse to do something that endangers her fellow Americans, but we know already that the only lives she seems to care about are those of the unborn, the rest of us can die.","2020-10-25","['tedlieu', 'boltyboy', 'whitehouse']","[]","[]"
1320557197487558657,"https://twitter.com/Spokoiny/status/1320557197487558657","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","Folks are focusing on Trump's epic meltdown in the 60 min interview, but that misses the point: he lied 16 times in that interview and didn't get fact-checked. #themediaisprotrump. It's crazy that after 4 years they haven't learned how to deal with somebody that lies all the time","2020-10-25","[]","['themediaisprotrump']","[]"
1320556807870296064,"https://twitter.com/Spokoiny/status/1320556807870296064","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@ddale8 @jaketapper And Leslie didn't fact-check him. #themediaisprotrump","2020-10-25","['ddale8', 'jaketapper']","['themediaisprotrump']","[]"
1320556324661256195,"https://twitter.com/Spokoiny/status/1320556324661256195","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@teddyschleifer @jacobkornbluh NO mask required. The ""killing my donors"" tour.","2020-10-25","['teddyschleifer', 'jacobkornbluh']","[]","[]"
1320555898989809664,"https://twitter.com/Spokoiny/status/1320555898989809664","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@RokhlK Like every bully, he's just a coward.","2020-10-25","['rokhlk']","[]","[]"
1320555774666395649,"https://twitter.com/Spokoiny/status/1320555774666395649","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@kampeas But this misses the story. Trump gets softball questions all the time, he's just asked to condemn Nazis. Even Leslie gave him easy qs. The expectations are so low that if he sounds more or less normal he does well. #themediaisprotrump","2020-10-25","['kampeas']","['themediaisprotrump']","[]"
1320555300877856768,"https://twitter.com/Spokoiny/status/1320555300877856768","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@jaketapper Meltdown","2020-10-25","['jaketapper']","[]","[]"
1320554327828643841,"https://twitter.com/Spokoiny/status/1320554327828643841","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@JewhadiTM No, the one who has honest affection for China is your boss, who gives them more money than he gives America.","2020-10-25","['jewhaditm']","[]","[]"
1320554202788098048,"https://twitter.com/Spokoiny/status/1320554202788098048","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@JewhadiTM And your Supreme Leader pays TAXES to China! You guys really have no shame.","2020-10-25","['jewhaditm']","[]","[]"
1320504243678109696,"https://twitter.com/Spokoiny/status/1320504243678109696","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Jerusalem_Post @Starbucks Trump's America. Vote.","2020-10-25","['jerusalem_post', 'starbucks']","[]","[]"
1320503791620296705,"https://twitter.com/Spokoiny/status/1320503791620296705","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Amy_Siskind Maybe she's not a body double, maybe she finally decided to show his mistress to the world.","2020-10-25","['amy_siskind']","[]","[]"
1320503588141948928,"https://twitter.com/Spokoiny/status/1320503588141948928","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@shadihamid The Black Swan was fresh and innovative. Then he drank his own Kool-Aid. Happens to many.","2020-10-25","['shadihamid']","[]","[]"
1320503256624238592,"https://twitter.com/Spokoiny/status/1320503256624238592","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@Tzedek_Assoc @realDonaldTrump Is not historic, but it's illegal. Religious orgs can't endorse candidates.","2020-10-25","['tzedek_assoc', 'realdonaldtrump']","[]","[]"
1320503085546893313,"https://twitter.com/Spokoiny/status/1320503085546893313","@Spokoiny","","Twitter Handle","Twitter Journalists","","","Andrés Spokoiny","@JewishVoice @realDonaldTrump @VP @HikindDov @BorisEP @AJ_Cats_ @AmericansAA No masks, chillul Hashem.","2020-10-25","['jewishvoice', 'realdonaldtrump', 'vp', 'hikinddov', 'borisep', 'aj_cats_', 'americansaa']","[]","[]"
